test_mouse,train_mice,n_train_mice,method,model,input,n_train_trials,n_test_trials,n_features,clip_frames,n_classes,shared_labels,accuracy,macro_f1,vec_source,cache_path,best_model
dynamic29156-11-10-Video-8744edeac3b4d1ce16b680916b5267ce,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce|dynamic29234-6-9-Video-8744edeac3b4d1ce16b680916b5267ce|dynamic29513-3-5-Video-8744edeac3b4d1ce16b680916b5267ce|dynamic29514-2-9-Video-8744edeac3b4d1ce16b680916b5267ce,4,Turnover,logreg,vector,2516,720,720,240,4,GaussianDot|NaturalVideo|PinkNoise|RandomDots,0.7902777777777777,0.5656596361023885,mixed,multiple,mlp
dynamic29156-11-10-Video-8744edeac3b4d1ce16b680916b5267ce,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce|dynamic29234-6-9-Video-8744edeac3b4d1ce16b680916b5267ce|dynamic29513-3-5-Video-8744edeac3b4d1ce16b680916b5267ce|dynamic29514-2-9-Video-8744edeac3b4d1ce16b680916b5267ce,4,Turnover,mlp,vector,2516,720,720,240,4,GaussianDot|NaturalVideo|PinkNoise|RandomDots,0.8388888888888889,0.580257420865749,mixed,multiple,mlp
dynamic29156-11-10-Video-8744edeac3b4d1ce16b680916b5267ce,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce|dynamic29234-6-9-Video-8744edeac3b4d1ce16b680916b5267ce|dynamic29513-3-5-Video-8744edeac3b4d1ce16b680916b5267ce|dynamic29514-2-9-Video-8744edeac3b4d1ce16b680916b5267ce,4,Turnover,cnn1d,vector,2516,720,720,240,4,GaussianDot|NaturalVideo|PinkNoise|RandomDots,0.7472222222222222,0.3052340450128858,mixed,multiple,mlp
dynamic29156-11-10-Video-8744edeac3b4d1ce16b680916b5267ce,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce|dynamic29234-6-9-Video-8744edeac3b4d1ce16b680916b5267ce|dynamic29513-3-5-Video-8744edeac3b4d1ce16b680916b5267ce|dynamic29514-2-9-Video-8744edeac3b4d1ce16b680916b5267ce,4,Turnover,cnn3d,grid,2516,720,720,240,4,GaussianDot|NaturalVideo|PinkNoise|RandomDots,0.7263888888888889,0.21037811745776347,mixed,multiple,mlp
dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,dynamic29156-11-10-Video-8744edeac3b4d1ce16b680916b5267ce|dynamic29234-6-9-Video-8744edeac3b4d1ce16b680916b5267ce|dynamic29513-3-5-Video-8744edeac3b4d1ce16b680916b5267ce|dynamic29514-2-9-Video-8744edeac3b4d1ce16b680916b5267ce,4,Turnover,logreg,vector,2470,704,720,240,4,Gabor|NaturalImages|NaturalVideo|PinkNoise,0.8125,0.6798811574079875,mixed,multiple,logreg
dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,dynamic29156-11-10-Video-8744edeac3b4d1ce16b680916b5267ce|dynamic29234-6-9-Video-8744edeac3b4d1ce16b680916b5267ce|dynamic29513-3-5-Video-8744edeac3b4d1ce16b680916b5267ce|dynamic29514-2-9-Video-8744edeac3b4d1ce16b680916b5267ce,4,Turnover,mlp,vector,2470,704,720,240,4,Gabor|NaturalImages|NaturalVideo|PinkNoise,0.8252840909090909,0.6147043846511933,mixed,multiple,logreg
dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,dynamic29156-11-10-Video-8744edeac3b4d1ce16b680916b5267ce|dynamic29234-6-9-Video-8744edeac3b4d1ce16b680916b5267ce|dynamic29513-3-5-Video-8744edeac3b4d1ce16b680916b5267ce|dynamic29514-2-9-Video-8744edeac3b4d1ce16b680916b5267ce,4,Turnover,cnn1d,vector,2470,704,720,240,4,Gabor|NaturalImages|NaturalVideo|PinkNoise,0.8508522727272727,0.6451307645772255,mixed,multiple,logreg
dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,dynamic29156-11-10-Video-8744edeac3b4d1ce16b680916b5267ce|dynamic29234-6-9-Video-8744edeac3b4d1ce16b680916b5267ce|dynamic29513-3-5-Video-8744edeac3b4d1ce16b680916b5267ce|dynamic29514-2-9-Video-8744edeac3b4d1ce16b680916b5267ce,4,Turnover,cnn3d,grid,2470,704,720,240,4,Gabor|NaturalImages|NaturalVideo|PinkNoise,0.8267045454545454,0.4714842110460954,mixed,multiple,logreg
dynamic29234-6-9-Video-8744edeac3b4d1ce16b680916b5267ce,dynamic29156-11-10-Video-8744edeac3b4d1ce16b680916b5267ce|dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce|dynamic29513-3-5-Video-8744edeac3b4d1ce16b680916b5267ce|dynamic29514-2-9-Video-8744edeac3b4d1ce16b680916b5267ce,4,Turnover,logreg,vector,2505,729,720,240,4,Gabor|NaturalImages|NaturalVideo|RandomDots,0.9506172839506173,0.9134884237586682,mixed,multiple,logreg
dynamic29234-6-9-Video-8744edeac3b4d1ce16b680916b5267ce,dynamic29156-11-10-Video-8744edeac3b4d1ce16b680916b5267ce|dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce|dynamic29513-3-5-Video-8744edeac3b4d1ce16b680916b5267ce|dynamic29514-2-9-Video-8744edeac3b4d1ce16b680916b5267ce,4,Turnover,mlp,vector,2505,729,720,240,4,Gabor|NaturalImages|NaturalVideo|RandomDots,0.9478737997256516,0.9133036884192042,mixed,multiple,logreg
