test_mouse,train_mice,n_train_mice,method,model,input,n_train_trials,n_test_trials,n_features,clip_frames,n_classes,shared_labels,accuracy,macro_f1,vec_source,cache_path,best_model
dynamic29156-11-10-Video-8744edeac3b4d1ce16b680916b5267ce,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce|dynamic29234-6-9-Video-8744edeac3b4d1ce16b680916b5267ce|dynamic29513-3-5-Video-8744edeac3b4d1ce16b680916b5267ce|dynamic29514-2-9-Video-8744edeac3b4d1ce16b680916b5267ce,4,Turnover,logreg,vector,2516,720,720,240,4,GaussianDot|NaturalVideo|PinkNoise|RandomDots,0.8625,0.6529960214518484,mixed,multiple,logreg
dynamic29156-11-10-Video-8744edeac3b4d1ce16b680916b5267ce,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce|dynamic29234-6-9-Video-8744edeac3b4d1ce16b680916b5267ce|dynamic29513-3-5-Video-8744edeac3b4d1ce16b680916b5267ce|dynamic29514-2-9-Video-8744edeac3b4d1ce16b680916b5267ce,4,Turnover,mlp,vector,2516,720,720,240,4,GaussianDot|NaturalVideo|PinkNoise|RandomDots,0.8472222222222222,0.6199819338969739,mixed,multiple,logreg
dynamic29156-11-10-Video-8744edeac3b4d1ce16b680916b5267ce,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce|dynamic29234-6-9-Video-8744edeac3b4d1ce16b680916b5267ce|dynamic29513-3-5-Video-8744edeac3b4d1ce16b680916b5267ce|dynamic29514-2-9-Video-8744edeac3b4d1ce16b680916b5267ce,4,Turnover,cnn1d,vector,2516,720,720,240,4,GaussianDot|NaturalVideo|PinkNoise|RandomDots,0.8055555555555556,0.5192492587840747,mixed,multiple,logreg
dynamic29156-11-10-Video-8744edeac3b4d1ce16b680916b5267ce,dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce|dynamic29234-6-9-Video-8744edeac3b4d1ce16b680916b5267ce|dynamic29513-3-5-Video-8744edeac3b4d1ce16b680916b5267ce|dynamic29514-2-9-Video-8744edeac3b4d1ce16b680916b5267ce,4,Turnover,cnn3d,grid,2516,720,720,240,4,GaussianDot|NaturalVideo|PinkNoise|RandomDots,0.7263888888888889,0.21037811745776347,mixed,multiple,logreg
dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,dynamic29156-11-10-Video-8744edeac3b4d1ce16b680916b5267ce|dynamic29234-6-9-Video-8744edeac3b4d1ce16b680916b5267ce|dynamic29513-3-5-Video-8744edeac3b4d1ce16b680916b5267ce|dynamic29514-2-9-Video-8744edeac3b4d1ce16b680916b5267ce,4,Turnover,logreg,vector,2470,704,720,240,4,Gabor|NaturalImages|NaturalVideo|PinkNoise,0.8636363636363636,0.7415608104757868,mixed,multiple,logreg
dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,dynamic29156-11-10-Video-8744edeac3b4d1ce16b680916b5267ce|dynamic29234-6-9-Video-8744edeac3b4d1ce16b680916b5267ce|dynamic29513-3-5-Video-8744edeac3b4d1ce16b680916b5267ce|dynamic29514-2-9-Video-8744edeac3b4d1ce16b680916b5267ce,4,Turnover,mlp,vector,2470,704,720,240,4,Gabor|NaturalImages|NaturalVideo|PinkNoise,0.8678977272727273,0.7021175774796394,mixed,multiple,logreg
dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,dynamic29156-11-10-Video-8744edeac3b4d1ce16b680916b5267ce|dynamic29234-6-9-Video-8744edeac3b4d1ce16b680916b5267ce|dynamic29513-3-5-Video-8744edeac3b4d1ce16b680916b5267ce|dynamic29514-2-9-Video-8744edeac3b4d1ce16b680916b5267ce,4,Turnover,cnn1d,vector,2470,704,720,240,4,Gabor|NaturalImages|NaturalVideo|PinkNoise,0.8707386363636364,0.6652914966886252,mixed,multiple,logreg
dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,dynamic29156-11-10-Video-8744edeac3b4d1ce16b680916b5267ce|dynamic29234-6-9-Video-8744edeac3b4d1ce16b680916b5267ce|dynamic29513-3-5-Video-8744edeac3b4d1ce16b680916b5267ce|dynamic29514-2-9-Video-8744edeac3b4d1ce16b680916b5267ce,4,Turnover,cnn3d,grid,2470,704,720,240,4,Gabor|NaturalImages|NaturalVideo|PinkNoise,0.8267045454545454,0.47923557625569024,mixed,multiple,logreg
dynamic29234-6-9-Video-8744edeac3b4d1ce16b680916b5267ce,dynamic29156-11-10-Video-8744edeac3b4d1ce16b680916b5267ce|dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce|dynamic29513-3-5-Video-8744edeac3b4d1ce16b680916b5267ce|dynamic29514-2-9-Video-8744edeac3b4d1ce16b680916b5267ce,4,Turnover,logreg,vector,2505,729,720,240,4,Gabor|NaturalImages|NaturalVideo|RandomDots,0.9204389574759945,0.8610768188136407,mixed,multiple,logreg
dynamic29234-6-9-Video-8744edeac3b4d1ce16b680916b5267ce,dynamic29156-11-10-Video-8744edeac3b4d1ce16b680916b5267ce|dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce|dynamic29513-3-5-Video-8744edeac3b4d1ce16b680916b5267ce|dynamic29514-2-9-Video-8744edeac3b4d1ce16b680916b5267ce,4,Turnover,mlp,vector,2505,729,720,240,4,Gabor|NaturalImages|NaturalVideo|RandomDots,0.9190672153635117,0.8605060132302362,mixed,multiple,logreg
dynamic29234-6-9-Video-8744edeac3b4d1ce16b680916b5267ce,dynamic29156-11-10-Video-8744edeac3b4d1ce16b680916b5267ce|dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce|dynamic29513-3-5-Video-8744edeac3b4d1ce16b680916b5267ce|dynamic29514-2-9-Video-8744edeac3b4d1ce16b680916b5267ce,4,Turnover,cnn1d,vector,2505,729,720,240,4,Gabor|NaturalImages|NaturalVideo|RandomDots,0.869684499314129,0.7055910976526439,mixed,multiple,logreg
dynamic29234-6-9-Video-8744edeac3b4d1ce16b680916b5267ce,dynamic29156-11-10-Video-8744edeac3b4d1ce16b680916b5267ce|dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce|dynamic29513-3-5-Video-8744edeac3b4d1ce16b680916b5267ce|dynamic29514-2-9-Video-8744edeac3b4d1ce16b680916b5267ce,4,Turnover,cnn3d,grid,2505,729,720,240,4,Gabor|NaturalImages|NaturalVideo|RandomDots,0.7969821673525377,0.4878102175421356,mixed,multiple,logreg
dynamic29513-3-5-Video-8744edeac3b4d1ce16b680916b5267ce,dynamic29156-11-10-Video-8744edeac3b4d1ce16b680916b5267ce|dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce|dynamic29234-6-9-Video-8744edeac3b4d1ce16b680916b5267ce|dynamic29514-2-9-Video-8744edeac3b4d1ce16b680916b5267ce,4,Turnover,logreg,vector,2462,713,720,240,4,GaussianDot|NaturalImages|NaturalVideo|PinkNoise,0.8008415147265077,0.5855986314398531,mixed,multiple,cnn1d
dynamic29513-3-5-Video-8744edeac3b4d1ce16b680916b5267ce,dynamic29156-11-10-Video-8744edeac3b4d1ce16b680916b5267ce|dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce|dynamic29234-6-9-Video-8744edeac3b4d1ce16b680916b5267ce|dynamic29514-2-9-Video-8744edeac3b4d1ce16b680916b5267ce,4,Turnover,mlp,vector,2462,713,720,240,4,GaussianDot|NaturalImages|NaturalVideo|PinkNoise,0.8246844319775596,0.5965289510796423,mixed,multiple,cnn1d
dynamic29513-3-5-Video-8744edeac3b4d1ce16b680916b5267ce,dynamic29156-11-10-Video-8744edeac3b4d1ce16b680916b5267ce|dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce|dynamic29234-6-9-Video-8744edeac3b4d1ce16b680916b5267ce|dynamic29514-2-9-Video-8744edeac3b4d1ce16b680916b5267ce,4,Turnover,cnn1d,vector,2462,713,720,240,4,GaussianDot|NaturalImages|NaturalVideo|PinkNoise,0.8401122019635343,0.5966779152605923,mixed,multiple,cnn1d
dynamic29513-3-5-Video-8744edeac3b4d1ce16b680916b5267ce,dynamic29156-11-10-Video-8744edeac3b4d1ce16b680916b5267ce|dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce|dynamic29234-6-9-Video-8744edeac3b4d1ce16b680916b5267ce|dynamic29514-2-9-Video-8744edeac3b4d1ce16b680916b5267ce,4,Turnover,cnn3d,grid,2462,713,720,240,4,GaussianDot|NaturalImages|NaturalVideo|PinkNoise,0.8120617110799438,0.45349179805701545,mixed,multiple,cnn1d
dynamic29514-2-9-Video-8744edeac3b4d1ce16b680916b5267ce,dynamic29156-11-10-Video-8744edeac3b4d1ce16b680916b5267ce|dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce|dynamic29234-6-9-Video-8744edeac3b4d1ce16b680916b5267ce|dynamic29513-3-5-Video-8744edeac3b4d1ce16b680916b5267ce,4,Turnover,logreg,vector,2511,723,720,240,4,Gabor|GaussianDot|NaturalVideo|RandomDots,0.8824343015214384,0.781930933736579,mixed,multiple,logreg
dynamic29514-2-9-Video-8744edeac3b4d1ce16b680916b5267ce,dynamic29156-11-10-Video-8744edeac3b4d1ce16b680916b5267ce|dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce|dynamic29234-6-9-Video-8744edeac3b4d1ce16b680916b5267ce|dynamic29513-3-5-Video-8744edeac3b4d1ce16b680916b5267ce,4,Turnover,mlp,vector,2511,723,720,240,4,Gabor|GaussianDot|NaturalVideo|RandomDots,0.8810511756569848,0.7685834875573789,mixed,multiple,logreg
dynamic29514-2-9-Video-8744edeac3b4d1ce16b680916b5267ce,dynamic29156-11-10-Video-8744edeac3b4d1ce16b680916b5267ce|dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce|dynamic29234-6-9-Video-8744edeac3b4d1ce16b680916b5267ce|dynamic29513-3-5-Video-8744edeac3b4d1ce16b680916b5267ce,4,Turnover,cnn1d,vector,2511,723,720,240,4,Gabor|GaussianDot|NaturalVideo|RandomDots,0.7302904564315352,0.21103117505995203,mixed,multiple,logreg
dynamic29514-2-9-Video-8744edeac3b4d1ce16b680916b5267ce,dynamic29156-11-10-Video-8744edeac3b4d1ce16b680916b5267ce|dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce|dynamic29234-6-9-Video-8744edeac3b4d1ce16b680916b5267ce|dynamic29513-3-5-Video-8744edeac3b4d1ce16b680916b5267ce,4,Turnover,cnn3d,grid,2511,723,720,240,4,Gabor|GaussianDot|NaturalVideo|RandomDots,0.7939142461964038,0.4402409830833067,mixed,multiple,logreg
