mouse,method,model,input,n_trials,n_features,clip_frames,cv_folds,mean_acc,std_acc,mean_f1,std_f1,source,cache_path,best_model
dynamic29156-11-10-Video-8744edeac3b4d1ce16b680916b5267ce,Turnover,logreg,vector,720,720,240,5,0.8694444444444445,0.018320702719823487,0.7637218334009737,0.023194353585458325,computed,/orfeo/scratch/area/ygardinazzi/sensorium_2026/derivatives/grid-15x15x10_norm-by_minmax/dynamic29156-11-10-Video-8744edeac3b4d1ce16b680916b5267ce/cache/dynamic29156-11-10-Video-8744edeac3b4d1ce16b680916b5267ce_Turnover_p30_pertrial0_clip240.npz,cnn3d
dynamic29156-11-10-Video-8744edeac3b4d1ce16b680916b5267ce,Turnover,mlp,vector,720,720,240,5,0.8875,0.028934259244443976,0.794561896072769,0.041846740288183984,computed,/orfeo/scratch/area/ygardinazzi/sensorium_2026/derivatives/grid-15x15x10_norm-by_minmax/dynamic29156-11-10-Video-8744edeac3b4d1ce16b680916b5267ce/cache/dynamic29156-11-10-Video-8744edeac3b4d1ce16b680916b5267ce_Turnover_p30_pertrial0_clip240.npz,cnn3d
dynamic29156-11-10-Video-8744edeac3b4d1ce16b680916b5267ce,Turnover,cnn1d,vector,720,720,240,5,0.6861111111111111,0.08441428555012638,0.34848606996501086,0.0550503285663471,computed,/orfeo/scratch/area/ygardinazzi/sensorium_2026/derivatives/grid-15x15x10_norm-by_minmax/dynamic29156-11-10-Video-8744edeac3b4d1ce16b680916b5267ce/cache/dynamic29156-11-10-Video-8744edeac3b4d1ce16b680916b5267ce_Turnover_p30_pertrial0_clip240.npz,cnn3d
dynamic29156-11-10-Video-8744edeac3b4d1ce16b680916b5267ce,Turnover,cnn3d,grid,720,720,240,5,0.9986111111111111,0.002777777777777768,0.9977607655502393,0.004478468899521548,computed,/orfeo/scratch/area/ygardinazzi/sensorium_2026/derivatives/grid-15x15x10_norm-by_minmax/dynamic29156-11-10-Video-8744edeac3b4d1ce16b680916b5267ce/cache/dynamic29156-11-10-Video-8744edeac3b4d1ce16b680916b5267ce_Turnover_p30_pertrial0_clip240.npz,cnn3d
dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,Turnover,logreg,vector,704,900,300,5,0.9531509625126645,0.018234560221900682,0.9200479792718902,0.03692059152579978,computed,/orfeo/scratch/area/ygardinazzi/sensorium_2026/derivatives/grid-15x15x10_norm-by_minmax/dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce/cache/dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce_Turnover_p30_pertrial0_clip300.npz,cnn3d
dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,Turnover,mlp,vector,704,900,300,5,0.9730395136778114,0.013737660349160078,0.9547182200531749,0.02301014126354474,computed,/orfeo/scratch/area/ygardinazzi/sensorium_2026/derivatives/grid-15x15x10_norm-by_minmax/dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce/cache/dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce_Turnover_p30_pertrial0_clip300.npz,cnn3d
dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,Turnover,cnn1d,vector,704,900,300,5,0.8494427558257346,0.038906830448367326,0.6292493696745024,0.09168423024084853,computed,/orfeo/scratch/area/ygardinazzi/sensorium_2026/derivatives/grid-15x15x10_norm-by_minmax/dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce/cache/dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce_Turnover_p30_pertrial0_clip300.npz,cnn3d
dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce,Turnover,cnn3d,grid,704,900,300,5,1.0,0.0,1.0,0.0,computed,/orfeo/scratch/area/ygardinazzi/sensorium_2026/derivatives/grid-15x15x10_norm-by_minmax/dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce/cache/dynamic29228-2-10-Video-8744edeac3b4d1ce16b680916b5267ce_Turnover_p30_pertrial0_clip300.npz,cnn3d
dynamic29234-6-9-Video-8744edeac3b4d1ce16b680916b5267ce,Turnover,logreg,vector,729,720,240,5,0.9533396315540861,0.011076503227631776,0.920064886990809,0.024254911852495405,cache,/orfeo/scratch/area/ygardinazzi/sensorium_2026/derivatives/grid-15x15x10_norm-by_minmax/dynamic29234-6-9-Video-8744edeac3b4d1ce16b680916b5267ce/cache/dynamic29234-6-9-Video-8744edeac3b4d1ce16b680916b5267ce_Turnover_p30_pertrial0_clip240.npz,cnn3d
dynamic29234-6-9-Video-8744edeac3b4d1ce16b680916b5267ce,Turnover,mlp,vector,729,720,240,5,0.9629381199811053,0.014845590364609185,0.9361878123821347,0.03138977843536448,cache,/orfeo/scratch/area/ygardinazzi/sensorium_2026/derivatives/grid-15x15x10_norm-by_minmax/dynamic29234-6-9-Video-8744edeac3b4d1ce16b680916b5267ce/cache/dynamic29234-6-9-Video-8744edeac3b4d1ce16b680916b5267ce_Turnover_p30_pertrial0_clip240.npz,cnn3d
dynamic29234-6-9-Video-8744edeac3b4d1ce16b680916b5267ce,Turnover,cnn1d,vector,729,720,240,5,0.7887576759565423,0.02608199221169002,0.5505633472462871,0.054453342716192905,cache,/orfeo/scratch/area/ygardinazzi/sensorium_2026/derivatives/grid-15x15x10_norm-by_minmax/dynamic29234-6-9-Video-8744edeac3b4d1ce16b680916b5267ce/cache/dynamic29234-6-9-Video-8744edeac3b4d1ce16b680916b5267ce_Turnover_p30_pertrial0_clip240.npz,cnn3d
dynamic29234-6-9-Video-8744edeac3b4d1ce16b680916b5267ce,Turnover,cnn3d,grid,729,720,240,5,0.9986206896551725,0.002758620689655178,0.998152354990156,0.0036952900196880025,cache,/orfeo/scratch/area/ygardinazzi/sensorium_2026/derivatives/grid-15x15x10_norm-by_minmax/dynamic29234-6-9-Video-8744edeac3b4d1ce16b680916b5267ce/cache/dynamic29234-6-9-Video-8744edeac3b4d1ce16b680916b5267ce_Turnover_p30_pertrial0_clip240.npz,cnn3d
dynamic29513-3-5-Video-8744edeac3b4d1ce16b680916b5267ce,Turnover,logreg,vector,713,900,300,5,0.9158278341376933,0.011869389993539089,0.8215614768244887,0.022487558593031153,computed,/orfeo/scratch/area/ygardinazzi/sensorium_2026/derivatives/grid-15x15x10_norm-by_minmax/dynamic29513-3-5-Video-8744edeac3b4d1ce16b680916b5267ce/cache/dynamic29513-3-5-Video-8744edeac3b4d1ce16b680916b5267ce_Turnover_p30_pertrial0_clip300.npz,cnn3d
dynamic29513-3-5-Video-8744edeac3b4d1ce16b680916b5267ce,Turnover,mlp,vector,713,900,300,5,0.9424997537673594,0.013585816716340003,0.883993079957445,0.02856205342153233,computed,/orfeo/scratch/area/ygardinazzi/sensorium_2026/derivatives/grid-15x15x10_norm-by_minmax/dynamic29513-3-5-Video-8744edeac3b4d1ce16b680916b5267ce/cache/dynamic29513-3-5-Video-8744edeac3b4d1ce16b680916b5267ce_Turnover_p30_pertrial0_clip300.npz,cnn3d
dynamic29513-3-5-Video-8744edeac3b4d1ce16b680916b5267ce,Turnover,cnn1d,vector,713,900,300,5,0.7629863094651826,0.008927753119932462,0.3399779704036098,0.012207803498220683,computed,/orfeo/scratch/area/ygardinazzi/sensorium_2026/derivatives/grid-15x15x10_norm-by_minmax/dynamic29513-3-5-Video-8744edeac3b4d1ce16b680916b5267ce/cache/dynamic29513-3-5-Video-8744edeac3b4d1ce16b680916b5267ce_Turnover_p30_pertrial0_clip300.npz,cnn3d
dynamic29513-3-5-Video-8744edeac3b4d1ce16b680916b5267ce,Turnover,cnn3d,grid,713,900,300,5,0.9929971437013692,0.006254766620640669,0.9891295542972397,0.009656201109109414,computed,/orfeo/scratch/area/ygardinazzi/sensorium_2026/derivatives/grid-15x15x10_norm-by_minmax/dynamic29513-3-5-Video-8744edeac3b4d1ce16b680916b5267ce/cache/dynamic29513-3-5-Video-8744edeac3b4d1ce16b680916b5267ce_Turnover_p30_pertrial0_clip300.npz,cnn3d
dynamic29514-2-9-Video-8744edeac3b4d1ce16b680916b5267ce,Turnover,logreg,vector,723,720,240,5,0.8575191570881227,0.014409327007347887,0.7452683699057125,0.035885431312021,cache,/orfeo/scratch/area/ygardinazzi/sensorium_2026/derivatives/grid-15x15x10_norm-by_minmax/dynamic29514-2-9-Video-8744edeac3b4d1ce16b680916b5267ce/cache/dynamic29514-2-9-Video-8744edeac3b4d1ce16b680916b5267ce_Turnover_p30_pertrial0_clip240.npz,cnn3d
dynamic29514-2-9-Video-8744edeac3b4d1ce16b680916b5267ce,Turnover,mlp,vector,723,720,240,5,0.9072892720306515,0.029334193838293384,0.8185548397556527,0.06034539353309152,cache,/orfeo/scratch/area/ygardinazzi/sensorium_2026/derivatives/grid-15x15x10_norm-by_minmax/dynamic29514-2-9-Video-8744edeac3b4d1ce16b680916b5267ce/cache/dynamic29514-2-9-Video-8744edeac3b4d1ce16b680916b5267ce_Turnover_p30_pertrial0_clip240.npz,cnn3d
dynamic29514-2-9-Video-8744edeac3b4d1ce16b680916b5267ce,Turnover,cnn1d,vector,723,720,240,5,0.728860153256705,0.030202253686979066,0.3750149052698748,0.04783619292368788,cache,/orfeo/scratch/area/ygardinazzi/sensorium_2026/derivatives/grid-15x15x10_norm-by_minmax/dynamic29514-2-9-Video-8744edeac3b4d1ce16b680916b5267ce/cache/dynamic29514-2-9-Video-8744edeac3b4d1ce16b680916b5267ce_Turnover_p30_pertrial0_clip240.npz,cnn3d
dynamic29514-2-9-Video-8744edeac3b4d1ce16b680916b5267ce,Turnover,cnn3d,grid,723,720,240,5,0.9944636015325671,0.006780743283029829,0.990893753639341,0.01124894740583045,cache,/orfeo/scratch/area/ygardinazzi/sensorium_2026/derivatives/grid-15x15x10_norm-by_minmax/dynamic29514-2-9-Video-8744edeac3b4d1ce16b680916b5267ce/cache/dynamic29514-2-9-Video-8744edeac3b4d1ce16b680916b5267ce_Turnover_p30_pertrial0_clip240.npz,cnn3d
